month,group,total
2021-11,DBD,116994529.99700001
2021-11,DIAGNOSTIK,101025200.36
2021-11,FARMASI,35252587.82
2021-11,IMUNISASI,76585918.63999999
2021-11,OBGYN,175419454.5
2021-11,OPERASIONAL_RS,193933098.0
2021-11,PANDEMI_COVID,59549645.46
2021-11,PERAWATAN_LUKA,13739475.46
2021-11,RESPIRATORIUM,157293025.0
2021-11,SPUIT_INJEKSI,248910601.577
2021-11,STERILISASI_CSSD,19140300.0
2021-11,UROLOGI,46730370.57
2021-12,APD_HIGIENE,83047015.0
2021-12,BEDAH_OK,160076995.0
2021-12,CAPITAL_EQUIP,800000.0
2021-12,DBD,80975022.73
2021-12,DIAGNOSTIK,116989536.18
2021-12,FARMASI,2261001.0
2021-12,IMUNISASI,2878400.0
2021-12,NEONATAL,3372600.0
2021-12,OBGYN,12528950.0
2021-12,OPERASIONAL_RS,77032055.19
2021-12,PANDEMI_COVID,8295545.455
2021-12,PERAWATAN_LUKA,47791876.3
2021-12,RESPIRATORIUM,163146626.202
2021-12,SPUIT_INJEKSI,80077465.695
2021-12,STERILISASI_CSSD,6205500.0
2021-12,UROLOGI,7157175.0
2022-01,APD_HIGIENE,46958300.0
2022-01,BEDAH_OK,193388211.646
2022-01,CAPITAL_EQUIP,4635000.0
2022-01,DBD,44255430.21
2022-01,DIAGNOSTIK,123565380.001
2022-01,FARMASI,75106307.832
2022-01,IMUNISASI,2832000.0
2022-01,NEONATAL,1050000.0
2022-01,OBGYN,2.0
2022-01,OPERASIONAL_RS,186683673.9
2022-01,PANDEMI_COVID,8866600.0
2022-01,PERAWATAN_LUKA,18176652.752
2022-01,RESPIRATORIUM,92174632.948
2022-01,SPUIT_INJEKSI,56443989.6
2022-01,STERILISASI_CSSD,21122000.0
2022-01,UROLOGI,28486504.0
2022-02,APD_HIGIENE,182980513.636
2022-02,BEDAH_OK,308583620.888
2022-02,CAPITAL_EQUIP,4115000.0
2022-02,DBD,30084995.47
2022-02,DIAGNOSTIK,51739000.0
2022-02,FARMASI,11808398.636
2022-02,IMUNISASI,1928792.0
2022-02,NEONATAL,3600000.0
2022-02,OBGYN,33962500.0
2022-02,OPERASIONAL_RS,19255527.273000002
2022-02,PANDEMI_COVID,14492619.0
2022-02,PERAWATAN_LUKA,63936780.03
2022-02,RESPIRATORIUM,231878329.775
2022-02,SPUIT_INJEKSI,65428573.379999995
2022-02,STERILISASI_CSSD,7122920.0
2022-02,UROLOGI,26803632.0
2022-03,APD_HIGIENE,69568410.0
2022-03,BEDAH_OK,255933892.472
2022-03,DBD,115445878.293
2022-03,DIAGNOSTIK,43520490.91
2022-03,FARMASI,32288800.0
2022-03,IMUNISASI,1234000.0
2022-03,NEONATAL,4090000.0
2022-03,OPERASIONAL_RS,84988288.182
2022-03,PANDEMI_COVID,5617027.8
2022-03,PERAWATAN_LUKA,56106498.22
2022-03,RESPIRATORIUM,63088888.818
2022-03,SPUIT_INJEKSI,73630133.36
2022-03,STERILISASI_CSSD,6930440.0
2022-03,UROLOGI,15620611.0
2022-04,APD_HIGIENE,176562862.288
2022-04,BEDAH_OK,177083524.296
2022-04,DBD,58766259.652
2022-04,DIAGNOSTIK,65858126.126
2022-04,OBGYN,2794400.0
2022-04,OPERASIONAL_RS,89933211.721
2022-04,PANDEMI_COVID,24814500.0
2022-04,PERAWATAN_LUKA,20072927.38
2022-04,RESPIRATORIUM,186579843.426
2022-04,SPUIT_INJEKSI,89834134.782
2022-04,STERILISASI_CSSD,11816500.0
2022-04,UROLOGI,39647482.883
2022-05,APD_HIGIENE,28964037.838
2022-05,BEDAH_OK,145678580.48
2022-05,CAPITAL_EQUIP,3020000.0
2022-05,DBD,104084847.038
2022-05,DIAGNOSTIK,54971801.909
2022-05,FARMASI,35029675.68
2022-05,IMUNISASI,1215000.0
2022-05,NEONATAL,20601000.0
2022-05,OPERASIONAL_RS,71946239.643
2022-05,PANDEMI_COVID,6211500.0
2022-05,PERAWATAN_LUKA,22980452.3
2022-05,RESPIRATORIUM,98502507.18
2022-05,SPUIT_INJEKSI,62687534.819
2022-05,STERILISASI_CSSD,29397030.0
2022-05,UROLOGI,15996925.261
2022-06,APD_HIGIENE,196062738.48
