barang_nama,total,n,qty
Nebulizer ,166907654.96,8,1900
KIT,165844400.0,5,509
Latex Steril Surgical Glove ,165573341.61,7,56
Surgical Gown,164602033.60999998,6,360
Asam Sitrat,162257665.567,41,57
ID Band Yellow Adult,161862076.686,52,157
kapsul Kosong ,160567721.44,17,82
Paper Kenz,159708013.845,22,730
Needle Hecting GR,159343011.0,9,121
Trulene mesh,158934587.103,19,139
Extention tube,158330115.956,13,485
Tourniquette,158085942.54,17,138
Latex Examination Gloves,154683317.0,18,770
Lap Sponge ABD 45X45CM ,153770397.27,15,380
Thermometer ,153472836.0,10,30
 Kertas Puyer,153131357.838,16,219
Nurse Cap,151714619.461,14,567
Tounge Spatel,150483617.247,35,108
Kertas ECG,150087049.6,41,473
Chromic 4/0,150040838.0,12,240
MOBCAP,148552157.29,9,120
Closed Suction Catheter,148326408.378,23,251
Non Woven Medical Tape ,148165409.146,13,395
Hand Sanitizer ,146408990.446,34,1066
Ultra-Fine,145151059.9,9,71
Mess ,142795106.95,26,63
Silk 2,141940105.0,25,552
Bengkok,141889707.92000002,6,38
Yellow,141552000.0,6,64
Pouches Gusseted ,141476609.091,9,21
kassa steril,141337335.762,21,2001
Developer,140931905.196,28,59
Pinset Chirugis ,139936256.615,8,31
Asam Acetat 3%,137937428.22,7,18
Equicel ,135177390.927,29,485
Pouches tyvek ,135175867.33,5,14
USG Paper 110HG,133282983.177,29,226
Paket SC ,132294300.28,11,223
Soffban,132209763.84,10,145
Cressent / Microsurgery,130386134.0,8,69
Pouches Flat ,130107955.42,10,21
Colostomy Bag,129419527.631,23,426
Rectal Tube,129261269.939,43,469
Kapas Pembalut,128593217.389,9,508
Disposable Adult Monopolar Grounding PAD,128426354.515,29,492
kapas,128235158.581,17,122
ID Band Pink Child,127932615.687,21,134
EDTA K3 PET,126808546.0,20,266
Medicine Cup,126765804.356,109,380700
Caviton,125684693.0,12,65
Plain 1,123619368.852,13,444
"Clips 6/Cart,",122773530.0,18,145
Resuscitator,122147041.5,12,24
Electro Surgical,120995560.322,19,829
Polypropylene 6/0 ,117250938.0,7,180
Hand Wash,116907135.0,11,167
Pen Light,116121777.6,8,25
Universal Set,114500883.596,21,132
Surgical Skin ,111916866.0,10,96
Infusion set ,111092383.476,16,3300
Plasma Sterilization,109688805.162,9,74
Baki ,109421230.91,6,58
Tracheastomy Kit,107813270.0,8,16
Marquette,107266359.875,39,181
Cosmozyme Enzymatic Kleaner,104381534.0,11,14
Umbilical Cord Clam,103348746.66,13,41
EDTA K3,102889145.0,21,343
FIXER,102823412.028,15,36
Gusseted Reels ,102365545.946,31,34
Intrafix Safeset,102298493.0,6,1800
Hearing,101236492.273,21,141
ID Band Blue Child,100127928.63,26,156
ECG Paper ,99710568.06,10,265
Kantong mayat,99567644.4,22,375
Stomach Tube ,99258694.175,10,103
Gunting,99000473.874,8,28
Povidine 10%,97726668.0,21,1417
Urine Bags ,95223359.946,9,652
Ethylchloride,95167973.16,21,119
Needle,94833842.0,15,178
Plesterin Kain Elastis,94402890.96000001,10,151
Assucryl 2,93489965.13700001,13,287
Hypafix,93172927.33,6,155
Oxygen Tubing,91854852.95,13,440
ECG Paper Philips,90150432.5,20,55
Pinset Anatomi ,89875377.281,10,45
Gel & Clot Activator Tube Pet ,89632242.8,18,250
Dermafix,89151952.0,7,25
Mouthpiece,88851718.182,18,4500
Colostomy Bag ,87898159.027,10,67
Clot Activator Gel ,85189847.138,13,206
Eye Protectors,84652136.0,8,58
Mask Anaesthesa,84388752.793,10,90
 Pouches Flat Reels,84188533.62,5,8
